,Unnamed: 0,Cost of Single Family Home,Zip Code,Rental Prices,Rental Value 2016
0,0,208300.0,29001,0.0,482
1,1,208300.0,29003,0.0,719
2,2,80700.0,29009,0.0,705
3,3,208300.0,29010,0.0,694
4,4,208300.0,29014,0.0,594
5,5,87800.0,29015,0.0,579
6,6,229700.0,29016,0.0,"1,136"
7,7,81000.0,29018,0.0,612
8,8,110400.0,29020,0.0,719
9,9,208300.0,29030,0.0,625
10,10,208300.0,29031,0.0,708
11,11,68200.0,29032,0.0,824
12,12,111600.0,29033,0.0,905
13,13,209000.0,29036,0.0,"1,178"
14,14,208300.0,29037,0.0,634
15,15,83600.0,29038,0.0,725
16,16,75300.0,29039,0.0,614
17,17,106700.0,29040,0.0,696
18,18,208300.0,29042,0.0,468
19,19,92400.0,29044,0.0,732
20,20,208300.0,29047,0.0,561
21,21,126300.0,29048,0.0,925
22,22,208300.0,29051,0.0,496
23,23,82300.0,29052,0.0,733
24,24,208300.0,29053,0.0,814
25,25,144000.0,29054,0.0,716
26,26,208300.0,29055,0.0,711
27,27,208300.0,29056,0.0,597
28,28,117800.0,29058,0.0,761
29,29,103100.0,29059,0.0,541
30,30,114100.0,29061,0.0,894
31,31,146100.0,29063,1175.0,"1,188"
32,32,208300.0,29065,0.0,0
33,33,85200.0,29067,0.0,617
34,34,78900.0,29069,0.0,634
35,35,201300.0,29072,1395.0,"1,011"
36,36,128600.0,29073,1135.0,879
37,37,208300.0,29075,0.0,702
38,38,122400.0,29078,0.0,646
39,39,80500.0,29080,0.0,456
40,40,208300.0,29081,0.0,565
41,41,208300.0,29082,0.0,458
42,42,102800.0,29102,0.0,0
43,43,74700.0,29104,0.0,644
44,44,208300.0,29105,0.0,683
45,45,208300.0,29108,0.0,710
46,46,208300.0,29111,0.0,597
47,47,208300.0,29113,0.0,595
48,48,81000.0,29114,0.0,504
49,49,71500.0,29115,0.0,678
50,50,208300.0,29117,0.0,0
51,51,119900.0,29118,0.0,661
52,52,208300.0,29123,0.0,771
53,53,75500.0,29125,0.0,763
54,54,208300.0,29126,0.0,695
55,55,208300.0,29127,0.0,767
56,56,67200.0,29128,0.0,685
57,57,82300.0,29129,0.0,785
58,58,208300.0,29130,0.0,807
59,59,208300.0,29133,0.0,"1,063"
60,60,208300.0,29135,0.0,780
61,61,73400.0,29137,0.0,596
62,62,208300.0,29138,0.0,677
63,63,110200.0,29142,0.0,722
64,64,208300.0,29145,0.0,971
65,65,65800.0,29146,0.0,687
66,66,78600.0,29150,0.0,737
67,67,83400.0,29153,0.0,865
68,68,117100.0,29154,1050.0,880
69,69,91300.0,29160,0.0,759
70,70,110500.0,29161,0.0,724
71,71,208300.0,29162,0.0,705
72,72,208300.0,29163,0.0,672
73,73,79600.0,29168,0.0,798
74,74,127300.0,29169,975.0,849
75,75,120700.0,29172,0.0,809
76,76,208300.0,29175,0.0,0
77,77,208300.0,29178,0.0,610
78,78,208300.0,29180,0.0,700
79,79,147300.0,29201,0.0,"1,034"
80,80,70600.0,29203,850.0,821
81,81,114800.0,29204,0.0,830
82,82,209800.0,29205,1150.0,791
83,83,220400.0,29206,0.0,931
84,84,208300.0,29208,0.0,0
85,85,127900.0,29209,1065.0,941
86,86,124200.0,29210,980.0,826
87,87,163500.0,29212,1200.0,"1,000"
88,88,208300.0,29214,0.0,0
89,89,208300.0,29215,0.0,0
90,90,208300.0,29216,0.0,0
91,91,208300.0,29217,0.0,0
92,92,208300.0,29218,0.0,0
93,93,208300.0,29219,0.0,0
94,94,208300.0,29220,0.0,0
95,95,208300.0,29222,0.0,0
96,96,118700.0,29223,1145.0,976
97,97,208300.0,29225,0.0,0
98,98,208300.0,29226,0.0,0
99,99,208300.0,29227,0.0,0
100,100,146600.0,29229,1267.5,"1,169"
101,101,123000.0,29301,0.0,792
102,102,142900.0,29302,0.0,770
103,103,88400.0,29303,0.0,653
104,104,84600.0,29306,0.0,698
105,105,142900.0,29307,0.0,761
106,106,144300.0,29316,0.0,852
107,107,208300.0,29318,0.0,0
108,108,208300.0,29319,0.0,0
109,109,208300.0,29321,0.0,756
110,110,174600.0,29322,0.0,0
111,111,125900.0,29323,0.0,697
112,112,208300.0,29325,0.0,738
113,113,91900.0,29330,0.0,0
114,114,208300.0,29332,0.0,569
115,115,157600.0,29334,0.0,894
116,116,97600.0,29335,0.0,644
117,117,81100.0,29340,0.0,648
118,118,107500.0,29341,0.0,678
119,119,151600.0,29349,0.0,767
120,120,208300.0,29351,0.0,546
121,121,208300.0,29353,0.0,566
122,122,208300.0,29355,0.0,703
123,123,166700.0,29356,0.0,703
124,124,208300.0,29360,0.0,653
125,125,148400.0,29365,0.0,820
126,126,163900.0,29369,0.0,905
127,127,208300.0,29370,0.0,879
128,128,87300.0,29372,0.0,583
129,129,151200.0,29374,0.0,883
130,130,153100.0,29376,0.0,779
131,131,208300.0,29379,0.0,596
132,132,173000.0,29384,0.0,722
133,133,110100.0,29385,0.0,712
134,134,208300.0,29390,0.0,0
135,135,208300.0,29391,0.0,0
136,136,208300.0,29395,0.0,0
137,137,1506800.0,29401,3500.0,"1,568"
138,138,412600.0,29403,2500.0,986
139,139,131900.0,29405,0.0,830
140,140,303100.0,29407,1625.0,983
141,141,208300.0,29409,0.0,982
142,142,229300.0,29410,0.0,984
143,143,336600.0,29412,1800.0,0
144,144,208300.0,29418,1362.5,905
145,145,181600.0,29420,1485.0,"1,038"
146,146,208300.0,29424,0.0,0
147,147,208300.0,29425,0.0,0
148,148,208300.0,29426,0.0,801
149,149,392400.0,29429,0.0,760
150,150,154400.0,29431,0.0,734
151,151,78900.0,29432,0.0,504
152,152,208300.0,29434,0.0,957
153,153,115700.0,29435,0.0,829
154,154,136800.0,29436,0.0,702
155,155,158400.0,29437,0.0,650
156,156,208300.0,29446,0.0,0
157,157,153500.0,29448,0.0,717
158,158,319000.0,29449,0.0,948
159,159,217900.0,29450,0.0,"1,001"
160,160,888200.0,29451,0.0,0
161,161,208300.0,29453,0.0,732
162,162,169400.0,29456,1495.0,"1,085"
163,163,274100.0,29458,0.0,907
164,164,202400.0,29461,1450.0,867
165,165,490500.0,29464,2400.0,"1,401"
166,166,455400.0,29466,2300.0,"1,647"
167,167,148600.0,29468,0.0,580
168,168,208300.0,29469,0.0,630
169,169,137600.0,29471,0.0,661
170,170,184700.0,29472,0.0,817
171,171,208300.0,29474,0.0,583
172,172,208300.0,29475,0.0,553
173,173,157300.0,29477,0.0,590
174,174,150000.0,29479,0.0,649
175,175,208300.0,29481,0.0,503
176,176,1876000.0,29482,0.0,"2,185"
177,177,208300.0,29486,0.0,0
178,178,100700.0,29488,0.0,742
179,179,480500.0,29492,0.0,"1,474"
180,180,140800.0,29501,0.0,754
181,181,95600.0,29510,0.0,700
182,182,145500.0,29511,0.0,775
183,183,208300.0,29512,0.0,582
184,184,208300.0,29516,0.0,716
185,185,208300.0,29518,0.0,0
186,186,208300.0,29520,0.0,563
187,187,208300.0,29525,0.0,507
188,188,168600.0,29526,0.0,831
189,189,139500.0,29527,0.0,755
190,190,91400.0,29530,0.0,516
191,191,71900.0,29532,0.0,629
192,192,208300.0,29536,0.0,0
193,193,77300.0,29540,0.0,556
194,194,208300.0,29543,0.0,0
195,195,139700.0,29544,0.0,792
196,196,208300.0,29545,0.0,709
197,197,208300.0,29546,0.0,563
198,198,208300.0,29547,0.0,509
199,199,87600.0,29550,0.0,643
200,200,88300.0,29555,0.0,545
201,201,208300.0,29556,0.0,638
202,202,87800.0,29560,0.0,668
203,203,208300.0,29563,0.0,483
204,204,208300.0,29564,0.0,632
205,205,208300.0,29565,0.0,543
206,206,185600.0,29566,0.0,836
207,207,208300.0,29567,0.0,645
208,208,138800.0,29569,0.0,729
209,209,208300.0,29570,0.0,360
210,210,208300.0,29571,0.0,551
211,211,208300.0,29574,0.0,465
212,212,225900.0,29575,0.0,849
213,213,259200.0,29576,0.0,"1,067"
214,214,208300.0,29580,0.0,730
215,215,111500.0,29581,0.0,630
216,216,275500.0,29582,0.0,923
217,217,86900.0,29583,0.0,566
218,218,208300.0,29584,0.0,639
219,219,335500.0,29585,0.0,"1,128"
220,220,176000.0,29588,1500.0,915
221,221,208300.0,29590,0.0,"1,085"
222,222,87500.0,29591,0.0,556
223,223,208300.0,29592,0.0,484
224,224,208300.0,29593,0.0,608
225,225,208300.0,29596,0.0,745
226,226,252200.0,29601,0.0,704
227,227,144400.0,29605,1200.0,800
228,228,196500.0,29607,1350.0,917
229,229,196600.0,29609,1250.0,744
230,230,101000.0,29611,0.0,712
231,231,208300.0,29613,0.0,0
232,232,208300.0,29614,0.0,493
233,233,249400.0,29615,1400.0,867
234,234,133800.0,29617,0.0,716
235,235,160600.0,29621,0.0,813
236,236,65800.0,29624,0.0,622
237,237,133800.0,29625,0.0,760
238,238,111000.0,29626,0.0,761
239,239,93800.0,29627,0.0,622
240,240,208300.0,29628,0.0,616
241,241,143300.0,29630,0.0,715
242,242,224700.0,29631,0.0,897
243,243,208300.0,29632,0.0,0
244,244,208300.0,29634,0.0,879
245,245,208200.0,29635,0.0,0
246,246,208300.0,29638,0.0,741
247,247,208300.0,29639,0.0,755
248,248,133700.0,29640,0.0,725
249,249,182600.0,29642,0.0,818
250,250,181000.0,29643,0.0,772
251,251,154800.0,29644,0.0,827
252,252,133600.0,29645,0.0,730
253,253,74000.0,29646,0.0,661
254,254,208300.0,29647,0.0,0
255,255,116900.0,29649,0.0,714
256,256,218300.0,29650,1512.5,947
257,257,170800.0,29651,0.0,739
258,258,208300.0,29653,0.0,631
259,259,90200.0,29654,0.0,587
260,260,75200.0,29655,0.0,731
261,261,126900.0,29657,0.0,738
262,262,208300.0,29658,0.0,0
263,263,140800.0,29661,0.0,623
264,264,172700.0,29662,0.0,896
265,265,139300.0,29664,0.0,561
266,266,208300.0,29666,0.0,655
267,267,208300.0,29667,0.0,396
268,268,120600.0,29669,0.0,652
269,269,132500.0,29670,0.0,601
270,270,143600.0,29671,0.0,682
271,271,239400.0,29672,0.0,838
272,272,144800.0,29673,0.0,759
273,273,239900.0,29676,0.0,757
274,274,136700.0,29678,0.0,727
275,275,193200.0,29680,1520.0,984
276,276,232200.0,29681,1595.0,"1,026"
277,277,216100.0,29682,0.0,609
278,278,82500.0,29684,0.0,641
279,279,629800.0,29685,0.0,0
280,280,208300.0,29686,0.0,350
281,281,170800.0,29687,1295.0,780
282,282,168900.0,29689,0.0,724
283,283,179000.0,29690,0.0,734
284,284,130200.0,29691,0.0,665
285,285,208300.0,29692,0.0,718
286,286,137800.0,29693,0.0,636
287,287,208300.0,29695,0.0,0
288,288,154900.0,29696,0.0,870
289,289,119300.0,29697,0.0,699
290,290,208300.0,29698,0.0,0
291,291,93400.0,29702,0.0,668
292,292,170100.0,29704,0.0,537
293,293,208300.0,29706,0.0,581
294,294,278800.0,29707,0.0,"1,279"
295,295,320200.0,29708,1900.0,"1,191"
296,296,204600.0,29710,0.0,956
297,297,208300.0,29712,0.0,955
298,298,208300.0,29714,0.0,691
299,299,225400.0,29715,0.0,953
300,300,136900.0,29717,0.0,502
301,301,208300.0,29718,0.0,495
302,302,121700.0,29720,0.0,667
303,303,208300.0,29722,0.0,0
304,304,154900.0,29726,0.0,864
305,305,112400.0,29729,0.0,715
306,306,147300.0,29730,0.0,0
307,307,185700.0,29732,1125.0,0
308,308,208300.0,29733,0.0,0
309,309,208300.0,29734,0.0,0
310,310,135200.0,29742,0.0,632
311,311,130400.0,29743,0.0,697
312,312,170700.0,29745,0.0,809
313,313,94700.0,29801,0.0,768
314,314,156900.0,29803,0.0,908
315,315,107800.0,29805,0.0,617
316,316,208300.0,29808,0.0,0
317,317,71100.0,29809,0.0,682
318,318,208300.0,29810,0.0,568
319,319,208300.0,29812,0.0,671
320,320,208300.0,29817,0.0,556
321,321,208300.0,29819,0.0,545
322,322,208300.0,29821,0.0,594
323,323,208300.0,29824,0.0,593
324,324,208300.0,29827,0.0,626
325,325,208300.0,29828,0.0,335
326,326,116400.0,29829,0.0,634
327,327,86400.0,29831,0.0,627
328,328,208300.0,29835,0.0,482
329,329,208300.0,29836,0.0,775
330,330,208300.0,29838,0.0,0
331,331,208300.0,29840,0.0,0
332,332,113400.0,29841,900.0,746
333,333,208300.0,29843,0.0,695
334,334,208300.0,29845,0.0,523
335,335,208300.0,29847,0.0,859
336,336,208300.0,29848,0.0,541
337,337,208300.0,29849,0.0,594
338,338,77500.0,29851,0.0,685
339,339,208300.0,29853,0.0,572
340,340,80600.0,29856,0.0,683
341,341,208300.0,29899,0.0,0
342,342,283800.0,29909,0.0,"1,269"
343,343,293000.0,29910,1697.5,0
344,344,208300.0,29911,0.0,646
345,345,208300.0,29912,0.0,0
346,346,546600.0,29915,0.0,0
347,347,208300.0,29916,0.0,822
348,348,208300.0,29918,0.0,589
349,349,208300.0,29922,0.0,487
350,350,208300.0,29924,0.0,624
351,351,448600.0,29926,0.0,"1,120"
352,352,147400.0,29927,0.0,921
353,353,755700.0,29928,0.0,"1,200"
354,354,208300.0,29929,0.0,841
355,355,171800.0,29935,0.0,980
356,356,208300.0,29936,0.0,0
357,357,230300.0,29940,0.0,872
358,358,208300.0,29941,0.0,0
359,359,208300.0,29943,0.0,0
360,360,208300.0,29944,0.0,612
361,361,208300.0,29945,0.0,0
