zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
29477,STANDARD,0,Saint George,,St George,SC,Dorchester County,America/New_York,843,NA,US,33.18,-80.58,5260
29479,STANDARD,0,Saint Stephen,Alvin,,SC,Berkeley County,America/New_York,843,NA,US,33.4,-79.92,5460
29481,STANDARD,0,Smoaks,,,SC,Colleton County,America/New_York,843,NA,US,33.08,-80.81,1430
29482,STANDARD,0,Sullivans Island,Sullivans Is,,SC,Charleston County,America/New_York,843,NA,US,32.76,-79.85,1830
29483,STANDARD,0,Summerville,Knightsville,,SC,Dorchester County,America/New_York,843,NA,US,33.05,-80.19,47040
29485,STANDARD,0,Summerville,"Ladson, Lincolnville",Summ,SC,Dorchester County,America/New_York,843,NA,US,33,-80.17,50950
29486,STANDARD,0,Summerville,,"Carnes Crossroads, Carnes Xrds",SC,Berkeley County,America/New_York,,NA,US,33.02,-80.18,25250
29487,STANDARD,0,Wadmalaw Island,Wadmalaw Is,,SC,Charleston County,America/New_York,843,NA,US,32.68,-80.16,2340
29488,STANDARD,0,Walterboro,Ritter,,SC,Colleton County,America/New_York,843,NA,US,32.9,-80.67,18220
29492,STANDARD,0,Charleston,"Cainhoy, Daniel Island, Wando",,SC,Berkeley County,America/New_York,843,NA,US,32.9,-79.91,13980
29501,STANDARD,0,Florence,,,SC,Florence County,America/New_York,843,NA,US,34.18,-79.78,38560
29505,STANDARD,0,Florence,,,SC,Florence County,America/New_York,843,NA,US,34.13,-79.69,21090
29506,STANDARD,0,Florence,Quinby,,SC,Florence County,America/New_York,843,NA,US,34.21,-79.65,15390
29510,STANDARD,0,Andrews,,,SC,Georgetown County,America/New_York,843,NA,US,33.44,-79.56,9140
29511,STANDARD,0,Aynor,,,SC,Horry County,America/New_York,843,NA,US,33.99,-79.2,4710
29512,STANDARD,0,Bennettsville,,,SC,Marlboro County,America/New_York,843,NA,US,34.63,-79.68,13010
29516,STANDARD,0,Blenheim,,,SC,Marlboro County,America/New_York,843,NA,US,34.51,-79.65,660
29518,STANDARD,0,Cades,,Hebron,SC,Williamsburg County,America/New_York,843,NA,US,33.79,-79.85,1050
29520,STANDARD,0,Cheraw,,,SC,Chesterfield County,America/New_York,843,NA,US,34.69,-79.89,11300
29525,STANDARD,0,Clio,,,SC,Marlboro County,America/New_York,843,NA,US,34.57,-79.54,1720
29526,STANDARD,0,Conway,,,SC,Horry County,America/New_York,843,NA,US,33.83,-79.04,33640
29527,STANDARD,0,Conway,Bucksport,,SC,Horry County,America/New_York,843,NA,US,33.79,-79.15,19700
29530,STANDARD,0,Coward,,,SC,Florence County,America/New_York,843,NA,US,33.97,-79.74,2300
29532,STANDARD,0,Darlington,,,SC,Darlington County,America/New_York,843,NA,US,34.29,-79.87,15660
29536,STANDARD,0,Dillon,Floyd Dale,Floyd Dl,SC,Dillon County,America/New_York,843,NA,US,34.42,-79.36,13630
29540,STANDARD,0,Darlington,,,SC,Darlington County,America/New_York,843,NA,US,34.38,-79.85,5050
29541,STANDARD,0,Effingham,,,SC,Florence County,America/New_York,843,NA,US,34.06,-79.74,7770
29543,STANDARD,0,Fork,,,SC,Dillon County,America/New_York,843,NA,US,34.28,-79.27,410
29544,STANDARD,0,Galivants Ferry,"Aynor, Galivants Fry",,SC,Horry County,America/New_York,843,NA,US,34.05,-79.24,4620
29545,STANDARD,0,Green Sea,,,SC,Horry County,America/New_York,843,NA,US,34.16,-78.97,1420
29546,STANDARD,0,Gresham,Brittons Neck,,SC,Marion County,America/New_York,843,NA,US,33.93,-79.41,2280
29547,STANDARD,0,Hamer,"S Of Border, South Of The Border",,SC,Dillon County,America/New_York,843,NA,US,34.5,-79.33,2220
29550,STANDARD,0,Hartsville,,,SC,Darlington County,America/New_York,843,NA,US,34.36,-80.08,25260
29554,STANDARD,0,Hemingway,,Stuckey,SC,Williamsburg County,America/New_York,843,NA,US,33.75,-79.44,7420
29555,STANDARD,0,Johnsonville,Poston,,SC,Florence County,America/New_York,843,NA,US,33.81,-79.44,5160
29556,STANDARD,0,Kingstree,,,SC,Williamsburg County,America/New_York,843,NA,US,33.66,-79.82,9910
29560,STANDARD,0,Lake City,,,SC,Florence County,America/New_York,843,NA,US,33.86,-79.75,11160
29563,STANDARD,0,Lake View,,,SC,Dillon County,America/New_York,843,NA,US,34.34,-79.16,2090
29564,STANDARD,0,Lane,,,SC,Williamsburg County,America/New_York,843,NA,US,33.52,-79.88,710
29565,STANDARD,0,Latta,,,SC,Dillon County,America/New_York,843,NA,US,34.33,-79.43,5510
29566,STANDARD,0,Little River,,,SC,Horry County,America/New_York,843,NA,US,33.87,-78.63,15800
29567,STANDARD,0,Little Rock,,,SC,Dillon County,America/New_York,843,NA,US,34.56,-79.43,710
29568,STANDARD,0,Longs,,,SC,Horry County,America/New_York,843,NA,US,33.93,-78.73,11580
29569,STANDARD,0,Loris,,,SC,Horry County,America/New_York,843,NA,US,34.05,-78.89,13950
29570,STANDARD,0,Mc Coll,,Mccoll,SC,Marlboro County,America/New_York,843,NA,US,34.66,-79.54,3010
29571,STANDARD,0,Marion,,,SC,Marion County,America/New_York,843,NA,US,34.17,-79.4,12530
29572,STANDARD,0,Myrtle Beach,,,SC,Horry County,America/New_York,843,NA,US,33.77,-78.78,8450
29574,STANDARD,0,Mullins,,,SC,Marion County,America/New_York,843,NA,US,34.2,-79.25,9050
29575,STANDARD,0,Myrtle Beach,"Surfside Bch, Surfside Beach",Surfside,SC,Horry County,America/New_York,843,NA,US,33.63,-78.97,14840
29576,STANDARD,0,Murrells Inlet,Murrells Inlt,"Garden City, Garden City Beach",SC,Horry County,America/New_York,843,NA,US,33.55,-79.05,24970
29577,STANDARD,0,Myrtle Beach,,,SC,Horry County,America/New_York,843,NA,US,33.69,-78.89,26560
29579,STANDARD,0,Myrtle Beach,,Carolina Forest,SC,Horry County,America/New_York,843,NA,US,33.75,-78.92,36460
29580,STANDARD,0,Nesmith,,,SC,Williamsburg County,America/New_York,843,NA,US,33.65,-79.51,1000
29581,STANDARD,0,Nichols,,,SC,Horry County,America/New_York,843,NA,US,34.23,-79.14,3470
29582,STANDARD,0,North Myrtle Beach,"Atlantic Bch, Atlantic Beach, Cherry Grove, Cherry Grove Beach, N Myrtle Bch, Ocean Drive","Crescent Beach, N Myrtle Beach, Ocean Dr Beach, Ocean Drive Beach",SC,Horry County,America/New_York,843,NA,US,33.82,-78.67,14020
29583,STANDARD,0,Pamplico,,,SC,Florence County,America/New_York,843,NA,US,33.99,-79.56,4180
29584,STANDARD,0,Patrick,,,SC,Chesterfield County,America/New_York,843,NA,US,34.57,-80.04,1890
29585,STANDARD,0,Pawleys Island,"Litchfield, N Litchfield, Pawleys Isl",Pawleys Is,SC,Georgetown County,America/New_York,843,NA,US,33.52,-79.14,13950
29588,STANDARD,0,Myrtle Beach,,,SC,Horry County,America/New_York,843,NA,US,33.63,-79.02,38540
29590,STANDARD,0,Salters,Trio,,SC,Williamsburg County,America/New_York,843,NA,US,33.59,-79.85,1860
29591,STANDARD,0,Scranton,,,SC,Florence County,America/New_York,843,NA,US,33.91,-79.74,3850
29592,STANDARD,0,Sellers,,,SC,Dillon County,America/New_York,843,NA,US,34.28,-79.47,930
29593,STANDARD,0,Society Hill,,,SC,Darlington County,America/New_York,843,NA,US,34.5,-79.85,1550
29596,STANDARD,0,Wallace,,,SC,Marlboro County,America/New_York,843,NA,US,34.72,-79.84,1860
29601,STANDARD,0,Greenville,,Gville,SC,Greenville County,America/New_York,864,NA,US,34.85,-82.4,7900
29605,STANDARD,0,Greenville,,Gville,SC,Greenville County,America/New_York,864,NA,US,34.77,-82.38,32250
29607,STANDARD,0,Greenville,,"Batesville, Gville",SC,Greenville County,America/New_York,864,NA,US,34.83,-82.37,34640
29609,STANDARD,0,Greenville,,Gville,SC,Greenville County,America/New_York,864,NA,US,34.91,-82.39,25790
29611,STANDARD,0,Greenville,Powdersville,"Gville, Piedmont",SC,Greenville County,America/New_York,864,NA,US,34.83,-82.46,26360
29613,UNIQUE,0,Greenville,,"Furman University, Gville",SC,Greenville County,America/New_York,864,NA,US,34.92,-82.44,64
29614,UNIQUE,0,Greenville,,"Bob Jones University, Gville",SC,Greenville County,America/New_York,864,NA,US,34.87,-82.36,368
29615,STANDARD,0,Greenville,,Gville,SC,Greenville County,America/New_York,864,NA,US,34.86,-82.3,34130
29617,STANDARD,0,Greenville,,Gville,SC,Greenville County,America/New_York,864,NA,US,34.91,-82.47,22810
29620,STANDARD,0,Abbeville,,,SC,Abbeville County,America/New_York,864,NA,US,34.17,-82.37,10840
29621,STANDARD,0,Anderson,,And,SC,Anderson County,America/New_York,864,NA,US,34.51,-82.64,35680
29624,STANDARD,0,Anderson,,And,SC,Anderson County,America/New_York,864,NA,US,34.44,-82.62,11990
29625,STANDARD,0,Anderson,,And,SC,Anderson County,America/New_York,864,NA,US,34.56,-82.76,23360
29626,STANDARD,0,Anderson,,And,SC,Anderson County,America/New_York,864,NA,US,34.46,-82.76,10910
29627,STANDARD,0,Belton,,,SC,Anderson County,America/New_York,864,NA,US,34.52,-82.49,15110
29628,STANDARD,0,Calhoun Falls,,,SC,Abbeville County,America/New_York,864,NA,US,34.09,-82.59,2000
29630,STANDARD,0,Central,,,SC,Pickens County,America/New_York,864,NA,US,34.72,-82.78,9690
29631,STANDARD,0,Clemson,,,SC,Pickens County,America/New_York,864,NA,US,34.68,-82.81,7680
29632,UNIQUE,0,Clemson,,Clemson University,SC,Pickens County,America/New_York,864,NA,US,34.68,-82.81,103
29634,UNIQUE,0,Clemson,,Clemson University,SC,Pickens County,America/New_York,864,NA,US,34.68,-82.84,34
29635,STANDARD,0,Cleveland,,,SC,Greenville County,America/New_York,864,NA,US,35.08,-82.63,1090
29638,STANDARD,0,Donalds,"Shoals Jct, Shoals Junction",,SC,Abbeville County,America/New_York,864,NA,US,34.37,-82.34,2360
29639,STANDARD,0,Due West,,,SC,Abbeville County,America/New_York,864,NA,US,34.33,-82.38,1120
29640,STANDARD,0,Easley,,,SC,Pickens County,America/New_York,864,NA,US,34.88,-82.58,26310
29642,STANDARD,0,Easley,Powdersville,Piedmont,SC,Pickens County,America/New_York,864,NA,US,34.82,-82.58,29500
29643,STANDARD,0,Fair Play,,,SC,Oconee County,America/New_York,864,NA,US,34.51,-82.98,2280
29644,STANDARD,0,Fountain Inn,,,SC,Greenville County,America/New_York,864,NA,US,34.69,-82.2,17470
29645,STANDARD,0,Gray Court,,Ora,SC,Laurens County,America/New_York,864,NA,US,34.6,-82.11,8900
29646,STANDARD,0,Greenwood,,Gwd,SC,Greenwood County,America/New_York,864,NA,US,34.19,-82.15,23560
29647,UNIQUE,0,Greenwood,,"Gwd, Park Seed Co",SC,Greenwood County,America/New_York,864,NA,US,34.19,-82.15,0
29649,STANDARD,0,Greenwood,,Gwd,SC,Greenwood County,America/New_York,864,NA,US,34.24,-82.15,23170
29650,STANDARD,0,Greer,,,SC,Greenville County,America/New_York,864,NA,US,34.9,-82.26,33020
29651,STANDARD,0,Greer,,,SC,Greenville County,America/New_York,864,NA,US,34.93,-82.23,41320
29653,STANDARD,0,Hodges,,,SC,Greenwood County,America/New_York,864,NA,US,34.28,-82.24,4010
29654,STANDARD,0,Honea Path,,,SC,Anderson County,America/New_York,864,NA,US,34.44,-82.39,8270
29655,STANDARD,0,Iva,,,SC,Anderson County,America/New_York,864,NA,US,34.3,-82.66,5770
29657,STANDARD,0,Liberty,,,SC,Pickens County,America/New_York,864,NA,US,34.79,-82.69,12720
29658,STANDARD,0,Long Creek,,,SC,Oconee County,America/New_York,864,NA,US,34.77,-83.25,270
29661,STANDARD,0,Marietta,,,SC,Greenville County,America/New_York,,NA,US,35.03,-82.49,4720
29662,STANDARD,0,Mauldin,,,SC,Greenville County,America/New_York,864,NA,US,34.78,-82.3,14010
29664,STANDARD,0,Mountain Rest,,,SC,Oconee County,America/New_York,864,NA,US,34.86,-83.15,1270
29666,STANDARD,0,Ninety Six,,,SC,Greenwood County,America/New_York,864,NA,US,34.17,-82.02,5600
29667,STANDARD,0,Norris,Cateechee,,SC,Pickens County,America/New_York,864,NA,US,34.76,-82.75,370
29669,STANDARD,0,Pelzer,,,SC,Anderson County,America/New_York,864,NA,US,34.64,-82.46,10630
29670,STANDARD,0,Pendleton,,,SC,Anderson County,America/New_York,864,NA,US,34.65,-82.78,7250
29671,STANDARD,0,Pickens,,,SC,Pickens County,America/New_York,864,NA,US,34.88,-82.7,15360
29672,STANDARD,0,Seneca,,,SC,Oconee County,America/New_York,864,NA,US,34.75,-82.93,10270
29673,STANDARD,0,Piedmont,Powdersville,,SC,Greenville County,America/New_York,864,NA,US,34.71,-82.46,24590
29676,STANDARD,0,Salem,,,SC,Oconee County,America/New_York,864,NA,US,34.89,-82.97,4710
29678,STANDARD,0,Seneca,,,SC,Oconee County,America/New_York,864,NA,US,34.68,-82.95,17270
29680,STANDARD,0,Simpsonville,,,SC,Greenville County,America/New_York,864,NA,US,34.69,-82.29,28670
29681,STANDARD,0,Simpsonville,,,SC,Greenville County,America/New_York,864,NA,US,34.73,-82.25,53490
29682,STANDARD,0,Six Mile,,,SC,Pickens County,America/New_York,864,NA,US,34.8,-82.81,3370
29684,STANDARD,0,Starr,,,SC,Anderson County,America/New_York,864,NA,US,34.37,-82.69,3930
29685,STANDARD,0,Sunset,,,SC,Pickens County,America/New_York,864,NA,US,34.99,-82.84,1340
29686,STANDARD,0,Tamassee,,,SC,Oconee County,America/New_York,864,NA,US,34.96,-83.05,810
29687,STANDARD,0,Taylors,,,SC,Greenville County,America/New_York,864,NA,US,34.91,-82.31,38240
29689,STANDARD,0,Townville,,,SC,Anderson County,America/New_York,864,NA,US,34.56,-82.89,3560
29690,STANDARD,0,Travelers Rest,Travelers Rst,,SC,Greenville County,America/New_York,864,NA,US,34.96,-82.43,18390
29691,STANDARD,0,Walhalla,,,SC,Oconee County,America/New_York,864,NA,US,34.77,-83.06,8840
29692,STANDARD,0,Ware Shoals,,,SC,Laurens County,America/New_York,864,NA,US,34.39,-82.24,3840
29693,STANDARD,0,Westminster,Madison,,SC,Oconee County,America/New_York,864,NA,US,34.66,-83.09,11730
29695,UNIQUE,0,Hodges,,Wayside Nurseries,SC,Greenwood County,America/New_York,864,NA,US,34.28,-82.24,0
29696,STANDARD,0,West Union,,,SC,Oconee County,America/New_York,864,NA,US,34.76,-83.04,4060
29697,STANDARD,0,Williamston,,,SC,Anderson County,America/New_York,864,NA,US,34.61,-82.47,11380
29698,UNIQUE,1,Greenville,,Bmg Columbia Hse Music Club,SC,Greenville County,America/New_York,864,NA,US,34.91,-82.09,0
29702,STANDARD,0,Blacksburg,"Cherokee Falls, Cherokee Fls, Kings Creek",,SC,Cherokee County,America/New_York,864,NA,US,35.12,-81.51,8050
29704,STANDARD,0,Catawba,,,SC,York County,America/New_York,803,NA,US,34.85,-80.91,3100
29706,STANDARD,0,Chester,,,SC,Chester County,America/New_York,803,NA,US,34.7,-81.21,16420
29707,STANDARD,0,Fort Mill,Indian Land,Ft Mill,SC,Lancaster County,America/New_York,803,NA,US,34.99,-80.86,25710
29708,STANDARD,0,Fort Mill,Tega Cay,Ft Mill,SC,York County,America/New_York,803,NA,US,35.05,-80.99,30240
29709,STANDARD,0,Chesterfield,,,SC,Chesterfield County,America/New_York,843,NA,US,34.73,-80.08,5100
29710,STANDARD,0,Clover,"Lake Wylie, River Hills",Lk Wylie,SC,York County,America/New_York,803,NA,US,35.11,-81.22,30670
29712,STANDARD,0,Edgemoor,,,SC,Chester County,America/New_York,803,NA,US,34.8,-81.01,2120
29714,STANDARD,0,Fort Lawn,,Ft Lawn,SC,Chester County,America/New_York,803,NA,US,34.7,-80.89,2470
29715,STANDARD,0,Fort Mill,,,SC,York County,America/New_York,803,NA,US,35,-80.94,30280
29717,STANDARD,0,Hickory Grove,,,SC,York County,America/New_York,803,NA,US,34.98,-81.41,1190
29718,STANDARD,0,Jefferson,,,SC,Chesterfield County,America/New_York,843,NA,US,34.65,-80.38,2930
29720,STANDARD,0,Lancaster,,,SC,Lancaster County,America/New_York,803,NA,US,34.72,-80.77,37910
29722,UNIQUE,0,Lancaster,,Hosiery Corp Of America,SC,Lancaster County,America/New_York,803,NA,US,34.72,-80.77,0
29726,STANDARD,0,Mc Connells,,Mcconnells,SC,York County,America/New_York,803,NA,US,34.86,-81.22,1570
29727,STANDARD,0,Mount Croghan,,,SC,Chesterfield County,America/New_York,843,NA,US,34.76,-80.22,1170
29728,STANDARD,0,Pageland,,,SC,Chesterfield County,America/New_York,843,NA,US,34.77,-80.38,7690
29729,STANDARD,0,Richburg,,,SC,Chester County,America/New_York,803,NA,US,34.71,-81.02,2060
29730,STANDARD,0,Rock Hill,,,SC,York County,America/New_York,803,NA,US,34.93,-81.02,47140
29732,STANDARD,0,Rock Hill,,,SC,York County,America/New_York,803,NA,US,34.97,-81.08,53640
29733,UNIQUE,0,Rock Hill,,"Winthrop University, Withrop College",SC,York County,America/New_York,803,NA,US,34.94,-81.03,119
29734,STANDARD,0,Rock Hill,,,SC,York County,America/New_York,803,NA,US,34.93,-81.02,0
29741,STANDARD,0,Ruby,,,SC,Chesterfield County,America/New_York,843,NA,US,34.74,-80.17,1550
29742,STANDARD,0,Sharon,,,SC,York County,America/New_York,"803,864",NA,US,34.95,-81.34,2100
29743,STANDARD,0,Smyrna,,,SC,York County,America/New_York,"864,803",NA,US,35.04,-81.41,1020
29745,STANDARD,0,York,,,SC,York County,America/New_York,803,NA,US,34.99,-81.23,27210
29801,STANDARD,0,Aiken,,,SC,Aiken County,America/New_York,803,NA,US,33.54,-81.72,20800
29803,STANDARD,0,Aiken,,,SC,Aiken County,America/New_York,803,NA,US,33.49,-81.76,34660
29805,STANDARD,0,Aiken,,,SC,Aiken County,America/New_York,803,NA,US,33.65,-81.6,4890
29808,UNIQUE,0,Aiken,,E I Dupont Co,SC,Aiken County,America/New_York,803,NA,US,33.54,-81.72,0
29809,STANDARD,0,New Ellenton,,,SC,Aiken County,America/New_York,803,NA,US,33.41,-81.68,2000
29810,STANDARD,0,Allendale,,Seigling,SC,Allendale County,America/New_York,803,NA,US,33,-81.3,3450
29812,STANDARD,0,Barnwell,Kline,Snelling,SC,Barnwell County,America/New_York,803,NA,US,33.24,-81.36,9660
29817,STANDARD,0,Blackville,,,SC,Barnwell County,America/New_York,803,NA,US,33.36,-81.28,3450
29819,STANDARD,0,Bradley,,"Callison, Promised Land",SC,Greenwood County,America/New_York,864,NA,US,34.04,-82.21,1280
29821,STANDARD,0,Clarks Hill,,,SC,McCormick County,America/New_York,864,NA,US,33.63,-82.14,1250
29824,STANDARD,0,Edgefield,,"Cleora, Meeting Street, Pleasant Lane",SC,Edgefield County,America/New_York,803,NA,US,33.78,-81.93,5100
29827,STANDARD,0,Fairfax,,Barton,SC,Allendale County,America/New_York,803,NA,US,32.95,-81.23,2180
29828,STANDARD,0,Gloverville,,,SC,Aiken County,America/New_York,803,NA,US,33.52,-81.83,740
29829,STANDARD,0,Graniteville,,,SC,Aiken County,America/New_York,803,NA,US,33.56,-81.81,9660
29831,STANDARD,0,Jackson,,"Dunbarton, Savannah River Plant",SC,Aiken County,America/New_York,803,NA,US,33.32,-81.79,3250
29832,STANDARD,0,Johnston,,,SC,Edgefield County,America/New_York,803,NA,US,33.83,-81.8,4800
29835,STANDARD,0,Mc Cormick,,"Bordeaux, Britts, Willington",SC,McCormick County,America/New_York,864,NA,US,33.91,-82.29,5110
29836,STANDARD,0,Martin,,,SC,Allendale County,America/New_York,803,NA,US,33.06,-81.47,330
29838,STANDARD,0,Modoc,,Colliers,SC,Edgefield County,America/New_York,864,NA,US,33.75,-82.15,440
29840,STANDARD,0,Mount Carmel,,,SC,McCormick County,America/New_York,864,NA,US,34,-82.5,190
29841,STANDARD,0,North Augusta,"Beech Island, Belvedere",,SC,Aiken County,America/New_York,803,NA,US,33.51,-81.95,27760
29842,STANDARD,0,Beech Island,,North Augusta,SC,Aiken County,America/New_York,803,NA,US,33.48,-81.89,6380
29843,STANDARD,0,Olar,,,SC,Bamberg County,America/New_York,803,NA,US,33.18,-81.18,930
29845,STANDARD,0,Plum Branch,Parksville,,SC,McCormick County,America/New_York,864,NA,US,33.84,-82.25,870
29847,STANDARD,0,Trenton,,Eureka,SC,Edgefield County,America/New_York,,NA,US,33.74,-81.84,4250
29848,STANDARD,0,Troy,,,SC,Greenwood County,America/New_York,864,NA,US,33.97,-82.08,670
29849,STANDARD,0,Ulmer,,,SC,Allendale County,America/New_York,803,NA,US,33.09,-81.2,190
29851,STANDARD,0,Warrenville,,"Burnettown, Mixville, Stiefeltown",SC,Aiken County,America/New_York,803,NA,US,33.51,-81.82,6560
29853,STANDARD,0,Williston,,White Pond,SC,Barnwell County,America/New_York,803,NA,US,33.4,-81.42,5050
29856,STANDARD,0,Windsor,,,SC,Aiken County,America/New_York,803,NA,US,33.48,-81.51,2260
29860,STANDARD,0,North Augusta,,,SC,Edgefield County,America/New_York,803,NA,US,33.61,-81.98,13820
29899,UNIQUE,0,Mc Cormick,,Mccormick Correctional Inst,SC,McCormick County,America/New_York,864,NA,US,33.93,-82.25,0
29902,STANDARD,0,Beaufort,,"Laurel Bay, Naval Hospital, Parris Island",SC,Beaufort County,America/New_York,843,NA,US,32.33,-80.68,12470
29906,STANDARD,0,Beaufort,,,SC,Beaufort County,America/New_York,843,NA,US,32.45,-80.75,18760
29907,STANDARD,0,Ladys Island,Beaufort,Ladies Island,SC,Beaufort County,America/New_York,843,NA,US,32.43,-80.64,11580
29909,STANDARD,0,Okatie,Bluffton,"Callawassie Island, Spring Island, Sun City",SC,Beaufort County,America/New_York,843,NA,US,32.3,-80.92,17820
29910,STANDARD,0,Bluffton,,"Brighton Beach, Pritchardville",SC,Beaufort County,America/New_York,843,NA,US,32.23,-80.86,39700
29911,STANDARD,0,Brunson,,,SC,Hampton County,America/New_York,803,NA,US,32.92,-81.18,1320
29912,STANDARD,0,Coosawhatchie,,Ridgeland,SC,Jasper County,America/New_York,843,NA,US,32.58,-80.93,18
29915,STANDARD,0,Daufuskie Island,Daufuskie Is,Hilton Head Island,SC,Beaufort County,America/New_York,843,NA,US,32.12,-80.86,340
29916,STANDARD,0,Early Branch,,"Barkersville, Fechtig, Grays",SC,Hampton County,America/New_York,843,NA,US,32.74,-80.92,1180
29918,STANDARD,0,Estill,,Nixville,SC,Hampton County,America/New_York,803,NA,US,32.75,-81.24,3620
29920,STANDARD,0,Saint Helena Island,"Fripp Island, St Helena Is","Dataw Island, Frogmore, Harbor Isl",SC,Beaufort County,America/New_York,843,NA,US,32.38,-80.56,8090
29922,STANDARD,0,Garnett,,"Brighton, Robertville, Shirley",SC,Hampton County,America/New_York,803,NA,US,32.6,-81.24,840
29924,STANDARD,0,Hampton,,,SC,Hampton County,America/New_York,803,NA,US,32.86,-81.1,3450
29926,STANDARD,0,Hilton Head Island,Hilton Head,,SC,Beaufort County,America/New_York,843,NA,US,32.19,-80.74,22200
29927,STANDARD,0,Hardeeville,,"Bellinger, Harbville, Limehouse, Purysburgh",SC,Jasper County,America/New_York,843,NA,US,32.27,-81.07,7240
29928,STANDARD,0,Hilton Head Island,Hilton Head,Fairfield,SC,Beaufort County,America/New_York,843,NA,US,32.16,-80.76,13390
29929,STANDARD,0,Islandton,,"Ashton, Moselle",SC,Colleton County,America/New_York,843,NA,US,32.9,-80.93,920
29932,STANDARD,0,Luray,,,SC,Hampton County,America/New_York,803,NA,US,32.82,-81.35,230
29934,STANDARD,0,Pineland,,,SC,Jasper County,America/New_York,,NA,US,32.6,-81.15,760
29935,STANDARD,0,Port Royal,,,SC,Beaufort County,America/New_York,843,NA,US,32.38,-80.69,3480
29936,STANDARD,0,Ridgeland,Coosawhatchie,"Gillisonville, Mitchellville, Switzerland",SC,Jasper County,America/New_York,843,NA,US,32.48,-80.98,10500
29940,STANDARD,0,Seabrook,,Coosaw,SC,Beaufort County,America/New_York,843,NA,US,32.56,-80.73,2940
29941,STANDARD,0,Sheldon,,,SC,Beaufort County,America/New_York,843,NA,US,32.55,-80.81,610
29943,STANDARD,0,Tillman,,Tarboro,SC,Jasper County,America/New_York,843,NA,US,32.46,-81.1,460
29944,STANDARD,0,Varnville,,,SC,Hampton County,America/New_York,803,NA,US,32.85,-81.08,3960
29945,STANDARD,0,Yemassee,,"Blake, Gardens Corner, Pocataligo, Salkehatchie, White Hall, Whitehall",SC,Hampton County,America/New_York,843,NA,US,32.69,-80.85,3530